RT,GazeRT,StimulusHorizontalDegree,StimulusVerticalDegree,InitialGazeDistance
0.4011999999999887,,33.0,1,2.1409444807073417
0.3007000000000062,0.03489999999999327,40.5,1,3.0708875787958365
0.2896000000000072,0.46709999999998786,20.5,-1,0.7657409277343005
0.3615000000000066,0.6479999999999961,25.5,2,6.103345580784457
0.3988999999999976,0.5046999999999855,18.0,-1,5.562459528751197
0.4660000000000082,0.9980999999999938,45.5,-2,6.479494205946642
,0.020999999999986585,38.0,-1,25.079043676695793
0.4363999999999919,0.016899999999992588,25.5,1,16.17835463884723
0.5246000000000208,,28.0,-1,6.15563271061348
,1.380200000000002,50.5,2,4.384422288194066
0.2991999999999848,0.9841999999999871,13.0,-1,3.12455167261669
0.4386000000000081,1.5822000000000003,8.0,-1,4.531899799582676
0.49399999999997135,1.1417000000000144,15.5,2,2.407404006865759
0.8654000000000224,,40.5,2,2.4385020192746656
0.8774999999999977,0.5219999999999914,38.0,-2,2.4817502433789964
0.8653999999999655,1.1311000000000035,25.5,-2,4.713594768088854
0.4411000000000058,0.23919999999998254,23.0,-2,6.31530347836062
,0.2826000000000022,53.0,-1,7.914797139545992
,1.4290000000000305,53.0,-2,8.835717044641537
0.35580000000004475,0.467200000000048,8.0,-2,5.117564999389372
0.338799999999992,1.8061999999999898,18.0,-2,7.622855984952508
